"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:57:12.1406955+08:00","categories","cold","cold","1","1","1 iteration","0","1","19","1.501","8.42","12.91","389.2","3.926","20260924-115703-categories-cold-r1-cold.json","20260924-115703-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:57:18.0784115+08:00","categories","cold","cold","2","1","1 iteration","0","1","16","3.673","13.8","12.95","389.1","5.742","20260924-115703-categories-cold-r2-cold.json","20260924-115703-categories-cold-r2-cold.stats.txt"
"2026-09-24T11:57:26.3046554+08:00","categories","cold","cold","3","1","1 iteration","0","1","23","0.959","6.4","13","389.1","3.875","20260924-115703-categories-cold-r3-cold.json","20260924-115703-categories-cold-r3-cold.stats.txt"
"2026-09-24T11:57:32.1742048+08:00","ranking","cold","cold","1","1","1 iteration","0","1","18","1.885","8.46","13.05","389.1","3.629","20260924-115703-ranking-cold-r1-cold.json","20260924-115703-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:57:38.1002271+08:00","ranking","cold","cold","2","1","1 iteration","0","1","18","3.935","13.86","13.35","389.2","3.875","20260924-115703-ranking-cold-r2-cold.json","20260924-115703-ranking-cold-r2-cold.stats.txt"
"2026-09-24T11:57:45.3515947+08:00","ranking","cold","cold","3","1","1 iteration","0","1","18","2.468","9.37","13.43","389.2","3.875","20260924-115703-ranking-cold-r3-cold.json","20260924-115703-ranking-cold-r3-cold.stats.txt"
"2026-09-24T11:58:05.8605742+08:00","categories","hot","load","1","5","15s","710","0","69","2.658","8.02","13.48","391.8","4.164","20260924-115703-categories-hot-r1-load.json","20260924-115703-categories-hot-r1-load.stats.txt"
"2026-09-24T11:58:27.4169357+08:00","categories","hot","load","2","5","15s","710","0","72","2.481","8.51","12.9","389.3","4.195","20260924-115703-categories-hot-r2-load.json","20260924-115703-categories-hot-r2-load.stats.txt"
"2026-09-24T11:58:49.0257278+08:00","categories","hot","load","3","5","15s","710","0","75","2.615","9.88","13.9","389.3","4.387","20260924-115703-categories-hot-r3-load.json","20260924-115703-categories-hot-r3-load.stats.txt"
"2026-09-24T11:59:09.9260829+08:00","ranking","hot","load","1","5","15s","1374","0","348","4.225","11.74","14.04","389.7","5.184","20260924-115703-ranking-hot-r1-load.json","20260924-115703-ranking-hot-r1-load.stats.txt"
"2026-09-24T11:59:30.8458306+08:00","ranking","hot","load","2","5","15s","1370","0","347","4.372","13.67","13.53","389.4","4.203","20260924-115703-ranking-hot-r2-load.json","20260924-115703-ranking-hot-r2-load.stats.txt"
"2026-09-24T11:59:51.7764056+08:00","ranking","hot","load","3","5","15s","1380","0","342","3.942","13.16","14.2","389.5","4.996","20260924-115703-ranking-hot-r3-load.json","20260924-115703-ranking-hot-r3-load.stats.txt"
"2026-09-24T12:00:15.2809218+08:00","categories","redis-unavailable","load","1","5","15s",,,"88","1.792","9.79","13.49","391.3",,"20260924-115703-categories-redis-unavailable-r1-load.json","20260924-115703-categories-redis-unavailable-r1-load.stats.txt"
"2026-09-24T12:00:36.9404019+08:00","categories","redis-unavailable","load","2","5","15s",,,"93","1.769","8.58","13.55","389.7",,"20260924-115703-categories-redis-unavailable-r2-load.json","20260924-115703-categories-redis-unavailable-r2-load.stats.txt"
"2026-09-24T12:00:58.9204720+08:00","categories","redis-unavailable","load","3","5","15s",,,"85","1.973","9.91","13.58","389.7",,"20260924-115703-categories-redis-unavailable-r3-load.json","20260924-115703-categories-redis-unavailable-r3-load.stats.txt"
"2026-09-24T12:01:19.4089330+08:00","ranking","redis-unavailable","load","1","5","15s",,,"851","7.267","16.05","13.54","389.7",,"20260924-115703-ranking-redis-unavailable-r1-load.json","20260924-115703-ranking-redis-unavailable-r1-load.stats.txt"
"2026-09-24T12:01:39.8669166+08:00","ranking","redis-unavailable","load","2","5","15s",,,"504","4.987","11.39","13.75","389.5",,"20260924-115703-ranking-redis-unavailable-r2-load.json","20260924-115703-ranking-redis-unavailable-r2-load.stats.txt"
"2026-09-24T12:02:00.6531991+08:00","ranking","redis-unavailable","load","3","5","15s",,,"477","4.973","14.21","13.88","389.5",,"20260924-115703-ranking-redis-unavailable-r3-load.json","20260924-115703-ranking-redis-unavailable-r3-load.stats.txt"
"2026-09-24T12:02:27.1707724+08:00","engagement","mysql-read","load","1","5","15s",,,"2144","6.403","18.04","13.9","390","6.41","20260924-115703-engagement-mysql-read-r1-load.json","20260924-115703-engagement-mysql-read-r1-load.stats.txt"
"2026-09-24T12:02:48.5276649+08:00","engagement","mysql-read","load","2","5","15s",,,"2143","5.954","16.54","16.08","393.9","6.004","20260924-115703-engagement-mysql-read-r2-load.json","20260924-115703-engagement-mysql-read-r2-load.stats.txt"
"2026-09-24T12:03:07.9470967+08:00","engagement","mysql-read","load","3","5","15s",,,"2136","6.457","17.69","14.88","391.1","3.895","20260924-115703-engagement-mysql-read-r3-load.json","20260924-115703-engagement-mysql-read-r3-load.stats.txt"
